date,lat,lon,intensity
1956/09/15,36.501,-120.213,3.51
1956/10/10,36.850,-121.770,3.94
1956/11/12,36.372,-120.001,3.37
1956/11/14,37.540,-118.525,3.58
1956/11/16,36.376,-120.885,5.00
1956/11/19,35.834,-120.893,3.68
1956/11/22,36.617,-121.651,3.92
1956/12/01,37.000,-122.000,3.85
1956/12/07,37.504,-118.774,3.35
1956/12/11,36.498,-120.839,4.19
1957/01/21,37.618,-118.417,3.60
1957/01/25,37.736,-118.608,3.77
1957/01/29,35.521,-123.077,5.22
1957/02/14,36.053,-120.515,3.50
1957/04/26,37.390,-117.967,3.87
1957/06/21,37.805,-119.397,4.50
1957/06/21,35.161,-120.958,3.54
1957/08/03,30.900,-116.000,4.44
1957/10/01,37.195,-121.496,4.02
1957/12/10,36.286,-122.051,3.76
1957/12/10,36.296,-122.177,3.62
1957/12/11,36.334,-122.200,3.72
1958/01/13,38.035,-118.640,3.98
1958/02/24,37.296,-118.091,3.23
1958/04/02,37.725,-118.347,4.03
1958/05/03,37.785,-118.387,3.87
1958/05/31,37.582,-118.644,3.89
1958/08/18,36.203,-121.044,3.61
1958/08/22,37.569,-118.602,3.96
1958/09/21,37.031,-121.380,4.56
1958/09/22,37.588,-118.864,3.47
1958/10/10,36.019,-120.757,4.71
1958/10/15,35.691,-121.495,3.79
1958/11/27,36.487,-121.622,4.24
1958/12/15,36.377,-120.319,3.21
1958/12/15,36.377,-120.273,3.20
1959/02/02,36.366,-120.594,3.61
1959/02/26,30.857,-116.546,4.60
1959/06/06,37.359,-118.552,3.60
1959/08/04,37.501,-118.417,5.17
1959/08/04,37.413,-118.541,4.09
1959/08/04,37.478,-118.453,3.83
1959/08/05,36.100,-120.799,3.90
1959/08/28,38.166,-118.066,4.08
1959/09/10,37.673,-118.675,3.49
1959/10/28,38.102,-118.238,3.83
1959/10/28,38.139,-118.223,3.83
1959/10/28,38.098,-118.349,3.86
1959/11/25,35.663,-121.302,3.75
1959/12/11,35.921,-120.861,3.85
1960/01/02,35.556,-121.351,4.04
1960/01/11,37.161,-117.827,3.79
1960/04/02,36.430,-120.753,3.80
1960/06/03,31.500,-114.000,4.80
1960/06/03,31.500,-114.000,4.40
1960/06/05,38.406,-119.097,5.51
1960/06/28,30.776,-117.993,3.50
